parola,emoji,similarity
happy,\U0001F600,
laugh,\U0001F602,
smile,\U0001F604,
wink,\U0001F609,
love,\U0001F970,
kiss,\U0001F618,
tongue,\U0001F61B,
hug,\U0001F917,
think,\U0001F914,
neutral,\U0001F610,
smirk,\U0001F60F,
lie,\U0001F925,
relieve,\U0001F60C,
pensive,\U0001F614,
drool,\U0001F924,
sleep,\U0001F634,
mask,\U0001F637,
fever,\U0001F912,
nausea,\U0001F922,
vomit,\U0001F92E,
hot,\U0001F975,
cold,\U0001F976,
explode,\U0001F92F,
cowboy,\U0001F920,
party,\U0001F973,
confuse,\U0001F615,
worried,\U0001F61F,
sad,\U0001F641,
anxious,\U0001F630,
cry,\U0001F62D,
fear,\U0001F631,
disappoint,\U0001F61E,
tired,\U0001F62B,
nervous,\U0001F621,
angry,\U0001F620,
amazing,\U0001F929,
dead,\U0001F480,
shit,\U0001F4A9,
clown,\U0001F921,
alien,\U0001F47D,
monkey,\U0001F435,
mouth,\U0001F48B,
heart,\U0002764,
collision,\U0001F4A5,
water,\U0001F4A6,
bomb,\U0001F4A3,
message,\U0001F4AC,
hello,\U0001F44B,
ok,\U0001F44C,
victory,\U000270C,
call,\U0001F919,
yes,\U0001F44D,
punch,\U0001F44A,
muscle,\U0001F4AA,
ear,\U0001F442,
nose,\U0001F443,
brain,\U0001F9E0,
eyes,\U0001F440,
baby,\U0001F476,
boy,\U0001F466,
girl,\U0001F467,
man,\U0001F468,
woman,\U0001F469,
student,\U0001F270,
cook,\U0001F9D1,
science,\U0001F52C,
sing,\U0001F3A4,
technology,\U0001F4BB,
art,\U0001F3A8,
police,\U0001F46E,
christmas,\U0001F385,
walk,\U0001F6B6,
train,\U0001F3CB,
bed,\U0001F6CC,
family,\U0001F46A,
dog,\U0001F415,
cat,\U0001F408,
horse,\U0001F0E,
flower,\U0001F33B,
tree,\U0001F332,
banana,\U0001F34C,
apple,\U0001F34E,
pear,\U0001F350,
tomato,\U0001F345,
bread,\U0001F35E,
chocolate,\U0001F36B,
drink,\U0001F964,
world,\U0001F30D,
house,\U0001F3D8,
church,\U00026EA,
train,\U0001F684,
bus,\U0001F68C,
taxi,\U0001F695,
school,\U0001F3EB,
car,\U0001F697,
moto,\U0001F3CD,
bike,\U0001F6B2,